Genre1,Genre2,Decade,A,B,C,D (Answer),Analogy
Comedy,Horror,1960s,"Odd Couple, The (1968)",Take the Money and Run (1969),Pit and the Pendulum (1961),"Birds, The (1963)","(Odd Couple, The (1968) : Take the Money and Run (1969)) = (Pit and the Pendulum (1961) : ?)"
Comedy,Horror,1960s,Tom Jones (1963),"Taming of the Shrew, The (1967)",Pit and the Pendulum (1961),"Birds, The (1963)","(Tom Jones (1963) : Taming of the Shrew, The (1967)) = (Pit and the Pendulum (1961) : ?)"
Comedy,Horror,1960s,"Odd Couple, The (1968)",Tom Jones (1963),"Birds, The (1963)","Birds, The (1963)","(Odd Couple, The (1968) : Tom Jones (1963)) = (Birds, The (1963) : ?)"
Comedy,Horror,1970s,Animal House (1978),Monty Python's Life of Brian (1979),"Baby, The (1973)","Exorcist, The (1973)","(Animal House (1978) : Monty Python's Life of Brian (1979)) = (Baby, The (1973) : ?)"
Comedy,Horror,1970s,Heaven Can Wait (1978),And Now for Something Completely Different (1971),"Omen, The (1976)","Omen, The (1976)","(Heaven Can Wait (1978) : And Now for Something Completely Different (1971)) = (Omen, The (1976) : ?)"
Comedy,Horror,1970s,Monty Python and the Holy Grail (1974),Monty Python and the Holy Grail (1974),"Exorcist, The (1973)","Texas Chainsaw Massacre, The (1974)","(Monty Python and the Holy Grail (1974) : Monty Python and the Holy Grail (1974)) = (Exorcist, The (1973) : ?)"
Comedy,Horror,1980s,Ruthless People (1986),Stripes (1981),Christine (1983),"American Werewolf in London, An (1981)",(Ruthless People (1986) : Stripes (1981)) = (Christine (1983) : ?)
Comedy,Horror,1980s,Heathers (1989),Tampopo (1986),Hello Mary Lou: Prom Night II (1987),Creepshow 2 (1987),(Heathers (1989) : Tampopo (1986)) = (Hello Mary Lou: Prom Night II (1987) : ?)
Comedy,Horror,1980s,Weekend at Bernie's (1989),European Vacation (1985),Halloween II (1981),"Nightmare on Elm Street 5: The Dream Child, A (1989)",(Weekend at Bernie's (1989) : European Vacation (1985)) = (Halloween II (1981) : ?)
Comedy,Horror,1990s,Superstar (1999),American Pie (1999),Hellraiser III: Hell on Earth (1992),"Relic, The (1997)",(Superstar (1999) : American Pie (1999)) = (Hellraiser III: Hell on Earth (1992) : ?)
Comedy,Horror,1990s,Big Daddy (1999),Pleasantville (1998),"Blair Witch Project, The (1999)",Vampires (1998),"(Big Daddy (1999) : Pleasantville (1998)) = (Blair Witch Project, The (1999) : ?)"
Comedy,Horror,1990s,Pleasantville (1998),Being John Malkovich (1999),"Relic, The (1997)",Hellraiser III: Hell on Earth (1992),"(Pleasantville (1998) : Being John Malkovich (1999)) = (Relic, The (1997) : ?)"
Comedy,Horror,2000s,Nutty Professor II: The Klumps (2000),Meet the Parents (2000),Urban Legends: Final Cut (2000),Urban Legends: Final Cut (2000),(Nutty Professor II: The Klumps (2000) : Meet the Parents (2000)) = (Urban Legends: Final Cut (2000) : ?)
Comedy,Horror,2000s,High Fidelity (2000),Best in Show (2000),Anatomy (Anatomie) (2000),Urban Legends: Final Cut (2000),(High Fidelity (2000) : Best in Show (2000)) = (Anatomy (Anatomie) (2000) : ?)
Comedy,Horror,2000s,Small Time Crooks (2000),High Fidelity (2000),Urban Legends: Final Cut (2000),Urban Legends: Final Cut (2000),(Small Time Crooks (2000) : High Fidelity (2000)) = (Urban Legends: Final Cut (2000) : ?)
Children's,Horror,1960s,"Gnome-Mobile, The (1967)","Gnome-Mobile, The (1967)","Birds, The (1963)","Birds, The (1963)","(Gnome-Mobile, The (1967) : Gnome-Mobile, The (1967)) = (Birds, The (1963) : ?)"
Children's,Horror,1960s,"Gnome-Mobile, The (1967)","Gnome-Mobile, The (1967)","Birds, The (1963)","Birds, The (1963)","(Gnome-Mobile, The (1967) : Gnome-Mobile, The (1967)) = (Birds, The (1963) : ?)"
Children's,Horror,1960s,"Gnome-Mobile, The (1967)","Gnome-Mobile, The (1967)","Birds, The (1963)","Birds, The (1963)","(Gnome-Mobile, The (1967) : Gnome-Mobile, The (1967)) = (Birds, The (1963) : ?)"
Children's,Horror,1980s,"Adventures of Milo and Otis, The (1986)","Adventures of Milo and Otis, The (1986)","American Werewolf in London, An (1981)","Gate, The (1987)","(Adventures of Milo and Otis, The (1986) : Adventures of Milo and Otis, The (1986)) = (American Werewolf in London, An (1981) : ?)"
Children's,Horror,1980s,"Adventures of Milo and Otis, The (1986)","Adventures of Milo and Otis, The (1986)",Halloween 4: The Return of Michael Myers (1988),Hellbound: Hellraiser II (1988),"(Adventures of Milo and Otis, The (1986) : Adventures of Milo and Otis, The (1986)) = (Halloween 4: The Return of Michael Myers (1988) : ?)"
Children's,Horror,1980s,"Adventures of Milo and Otis, The (1986)","Adventures of Milo and Otis, The (1986)",Friday the 13th Part V: A New Beginning (1985),Halloween 4: The Return of Michael Myers (1988),"(Adventures of Milo and Otis, The (1986) : Adventures of Milo and Otis, The (1986)) = (Friday the 13th Part V: A New Beginning (1985) : ?)"
Children's,Horror,1990s,Zeus and Roxanne (1997),"Baby-Sitters Club, The (1995)",Castle Freak (1995),Tales from the Crypt Presents: Bordello of Blood (1996),"(Zeus and Roxanne (1997) : Baby-Sitters Club, The (1995)) = (Castle Freak (1995) : ?)"
Children's,Horror,1990s,Zeus and Roxanne (1997),"Baby-Sitters Club, The (1995)",Misery (1990),"House on Haunted Hill, The (1999)","(Zeus and Roxanne (1997) : Baby-Sitters Club, The (1995)) = (Misery (1990) : ?)"
Children's,Horror,1990s,"Baby-Sitters Club, The (1995)","Baby-Sitters Club, The (1995)",Sleepwalkers (1992),Candyman: Farewell to the Flesh (1995),"(Baby-Sitters Club, The (1995) : Baby-Sitters Club, The (1995)) = (Sleepwalkers (1992) : ?)"
Children's,Horror,2000s,Thomas and the Magic Railroad (2000),Thomas and the Magic Railroad (2000),Urban Legends: Final Cut (2000),Urban Legends: Final Cut (2000),(Thomas and the Magic Railroad (2000) : Thomas and the Magic Railroad (2000)) = (Urban Legends: Final Cut (2000) : ?)
Children's,Horror,2000s,Thomas and the Magic Railroad (2000),Thomas and the Magic Railroad (2000),Anatomy (Anatomie) (2000),Anatomy (Anatomie) (2000),(Thomas and the Magic Railroad (2000) : Thomas and the Magic Railroad (2000)) = (Anatomy (Anatomie) (2000) : ?)
Children's,Horror,2000s,Thomas and the Magic Railroad (2000),Thomas and the Magic Railroad (2000),Urban Legends: Final Cut (2000),Urban Legends: Final Cut (2000),(Thomas and the Magic Railroad (2000) : Thomas and the Magic Railroad (2000)) = (Urban Legends: Final Cut (2000) : ?)
Musical,Action,1960s,"Sound of Music, The (1965)",Oliver! (1968),Goldfinger (1964),Goldfinger (1964),"(Sound of Music, The (1965) : Oliver! (1968)) = (Goldfinger (1964) : ?)"
Musical,Action,1960s,G. I. Blues (1960),"Sound of Music, The (1965)",Goldfinger (1964),Goldfinger (1964),"(G. I. Blues (1960) : Sound of Music, The (1965)) = (Goldfinger (1964) : ?)"
Musical,Action,1960s,Gypsy (1962),Gypsy (1962),Dr. No (1962),Goldfinger (1964),(Gypsy (1962) : Gypsy (1962)) = (Dr. No (1962) : ?)
Musical,Action,1970s,All That Jazz (1979),All That Jazz (1979),Thunderbolt and Lightfoot (1974),"Spy Who Loved Me, The (1977)",(All That Jazz (1979) : All That Jazz (1979)) = (Thunderbolt and Lightfoot (1974) : ?)
Musical,Action,1970s,All That Jazz (1979),All That Jazz (1979),"Spy Who Loved Me, The (1977)","Spy Who Loved Me, The (1977)","(All That Jazz (1979) : All That Jazz (1979)) = (Spy Who Loved Me, The (1977) : ?)"
Musical,Action,1970s,All That Jazz (1979),All That Jazz (1979),"Spy Who Loved Me, The (1977)",Thunderbolt and Lightfoot (1974),"(All That Jazz (1979) : All That Jazz (1979)) = (Spy Who Loved Me, The (1977) : ?)"
Musical,Action,1980s,"Love Bewitched, A (El Amor Brujo) (1986)","Love Bewitched, A (El Amor Brujo) (1986)",Wanted: Dead or Alive (1987),First Blood (1982),"(Love Bewitched, A (El Amor Brujo) (1986) : Love Bewitched, A (El Amor Brujo) (1986)) = (Wanted: Dead or Alive (1987) : ?)"
Musical,Action,1980s,"Love Bewitched, A (El Amor Brujo) (1986)","Love Bewitched, A (El Amor Brujo) (1986)",For Your Eyes Only (1981),Bloodsport (1988),"(Love Bewitched, A (El Amor Brujo) (1986) : Love Bewitched, A (El Amor Brujo) (1986)) = (For Your Eyes Only (1981) : ?)"
Musical,Action,1980s,"Love Bewitched, A (El Amor Brujo) (1986)","Love Bewitched, A (El Amor Brujo) (1986)","Presidio, The (1988)",First Blood (1982),"(Love Bewitched, A (El Amor Brujo) (1986) : Love Bewitched, A (El Amor Brujo) (1986)) = (Presidio, The (1988) : ?)"
Musical,Action,1990s,Madame Butterfly (1995),Madame Butterfly (1995),"Shadow, The (1994)",Knock Off (1998),"(Madame Butterfly (1995) : Madame Butterfly (1995)) = (Shadow, The (1994) : ?)"
Musical,Action,1990s,Madame Butterfly (1995),Madame Butterfly (1995),"Specialist, The (1994)",Bad Boys (1995),"(Madame Butterfly (1995) : Madame Butterfly (1995)) = (Specialist, The (1994) : ?)"
Musical,Action,1990s,Madame Butterfly (1995),Madame Butterfly (1995),Police Story 4: Project S (Chao ji ji hua) (1993),Jackie Chan's First Strike (1996),(Madame Butterfly (1995) : Madame Butterfly (1995)) = (Police Story 4: Project S (Chao ji ji hua) (1993) : ?)
Crime,Animation,1990s,Go (1999),Go (1999),Wallace & Gromit: The Best of Aardman Animation (1996),Wallace & Gromit: The Best of Aardman Animation (1996),(Go (1999) : Go (1999)) = (Wallace & Gromit: The Best of Aardman Animation (1996) : ?)
Crime,Animation,1990s,"General, The (1998)",Kansas City (1996),Wallace & Gromit: The Best of Aardman Animation (1996),Wallace & Gromit: The Best of Aardman Animation (1996),"(General, The (1998) : Kansas City (1996)) = (Wallace & Gromit: The Best of Aardman Animation (1996) : ?)"
Crime,Animation,1990s,Clay Pigeons (1998),Go (1999),Wallace & Gromit: The Best of Aardman Animation (1996),Wallace & Gromit: The Best of Aardman Animation (1996),(Clay Pigeons (1998) : Go (1999)) = (Wallace & Gromit: The Best of Aardman Animation (1996) : ?)
Romance,Action,1980s,Against All Odds (1984),Against All Odds (1984),Licence to Kill (1989),For Your Eyes Only (1981),(Against All Odds (1984) : Against All Odds (1984)) = (Licence to Kill (1989) : ?)
Romance,Action,1980s,Against All Odds (1984),Against All Odds (1984),Licence to Kill (1989),Licence to Kill (1989),(Against All Odds (1984) : Against All Odds (1984)) = (Licence to Kill (1989) : ?)
Romance,Action,1980s,Against All Odds (1984),Against All Odds (1984),"View to a Kill, A (1985)","View to a Kill, A (1985)","(Against All Odds (1984) : Against All Odds (1984)) = (View to a Kill, A (1985) : ?)"
Romance,Action,1990s,Persuasion (1995),Meet Joe Black (1998),Steel (1997),Metro (1997),(Persuasion (1995) : Meet Joe Black (1998)) = (Steel (1997) : ?)
Romance,Action,1990s,City of Angels (1998),City of Angels (1998),Judgment Night (1993),"Specialist, The (1994)",(City of Angels (1998) : City of Angels (1998)) = (Judgment Night (1993) : ?)
Romance,Action,1990s,Walking and Talking (1996),Message in a Bottle (1999),Striking Distance (1993),Jackie Chan's First Strike (1996),(Walking and Talking (1996) : Message in a Bottle (1999)) = (Striking Distance (1993) : ?)
Drama,Sci-Fi,1960s,If.... (1968),Inherit the Wind (1960),Alphaville (1965),Quatermass and the Pit (1967),(If.... (1968) : Inherit the Wind (1960)) = (Alphaville (1965) : ?)
Drama,Sci-Fi,1960s,Midnight Cowboy (1969),"They Shoot Horses, Don't They? (1969)",Quatermass and the Pit (1967),Quatermass and the Pit (1967),"(Midnight Cowboy (1969) : They Shoot Horses, Don't They? (1969)) = (Quatermass and the Pit (1967) : ?)"
Drama,Sci-Fi,1960s,To Sir with Love (1967),Inherit the Wind (1960),Alphaville (1965),Quatermass and the Pit (1967),(To Sir with Love (1967) : Inherit the Wind (1960)) = (Alphaville (1965) : ?)
Drama,Sci-Fi,1970s,One Flew Over the Cuckoo's Nest (1975),Airport (1970),"Clockwork Orange, A (1971)","Omega Man, The (1971)","(One Flew Over the Cuckoo's Nest (1975) : Airport (1970)) = (Clockwork Orange, A (1971) : ?)"
Drama,Sci-Fi,1970s,"Last Picture Show, The (1971)",One Flew Over the Cuckoo's Nest (1975),"Black Hole, The (1979)","Clockwork Orange, A (1971)","(Last Picture Show, The (1971) : One Flew Over the Cuckoo's Nest (1975)) = (Black Hole, The (1979) : ?)"
Drama,Sci-Fi,1970s,Breaking Away (1979),Carnal Knowledge (1971),"Clockwork Orange, A (1971)","Clockwork Orange, A (1971)","(Breaking Away (1979) : Carnal Knowledge (1971)) = (Clockwork Orange, A (1971) : ?)"
Drama,Sci-Fi,1980s,My Left Foot (1989),"Verdict, The (1982)",Brazil (1985),Brazil (1985),"(My Left Foot (1989) : Verdict, The (1982)) = (Brazil (1985) : ?)"
Drama,Sci-Fi,1980s,"Outsiders, The (1983)",Nine 1/2 Weeks (1986),Brazil (1985),Brazil (1985),"(Outsiders, The (1983) : Nine 1/2 Weeks (1986)) = (Brazil (1985) : ?)"
Drama,Sci-Fi,1980s,Sophie's Choice (1982),Sophie's Choice (1982),Brazil (1985),Brazil (1985),(Sophie's Choice (1982) : Sophie's Choice (1982)) = (Brazil (1985) : ?)
Drama,Sci-Fi,1990s,Big Night (1996),Apollo 13 (1995),Tetsuo II: Body Hammer (1992),Tetsuo II: Body Hammer (1992),(Big Night (1996) : Apollo 13 (1995)) = (Tetsuo II: Body Hammer (1992) : ?)
Drama,Sci-Fi,1990s,American History X (1998),Trainspotting (1996),Tetsuo II: Body Hammer (1992),Tetsuo II: Body Hammer (1992),(American History X (1998) : Trainspotting (1996)) = (Tetsuo II: Body Hammer (1992) : ?)
Drama,Sci-Fi,1990s,Sunshine (1999),Bastard Out of Carolina (1996),Tetsuo II: Body Hammer (1992),Tetsuo II: Body Hammer (1992),(Sunshine (1999) : Bastard Out of Carolina (1996)) = (Tetsuo II: Body Hammer (1992) : ?)
Drama,Sci-Fi,2000s,Remember the Titans (2000),Requiem for a Dream (2000),Mission to Mars (2000),Mission to Mars (2000),(Remember the Titans (2000) : Requiem for a Dream (2000)) = (Mission to Mars (2000) : ?)
Drama,Sci-Fi,2000s,Groove (2000),I Dreamed of Africa (2000),Mission to Mars (2000),Mission to Mars (2000),(Groove (2000) : I Dreamed of Africa (2000)) = (Mission to Mars (2000) : ?)
Drama,Sci-Fi,2000s,Requiem for a Dream (2000),Coyote Ugly (2000),Mission to Mars (2000),Mission to Mars (2000),(Requiem for a Dream (2000) : Coyote Ugly (2000)) = (Mission to Mars (2000) : ?)
